"ID_STAZ","DATARIL","VALORE"
"1386","2020-07-02 05:00:00.0","20.90"
"1386","2020-07-02 06:00:00.0","25.70"
"1386","2020-07-02 07:00:00.0","28.50"
"1386","2020-07-02 08:00:00.0","29.60"
"1386","2020-07-02 09:00:00.0","30.90"
"1386","2020-07-02 10:00:00.0","30.90"
"1386","2020-07-02 11:00:00.0","30.80"
"1386","2020-07-02 12:00:00.0","31.30"
"1386","2020-07-02 13:00:00.0","31.20"
"1386","2020-07-02 14:00:00.0","31.50"
"1386","2020-07-02 15:00:00.0","31.30"
"1386","2020-07-02 16:00:00.0","31.10"
"1386","2020-07-02 17:00:00.0","29.10"
"1386","2020-07-02 18:00:00.0","27.00"
"1386","2020-07-02 19:00:00.0","23.30"
"1386","2020-07-02 20:00:00.0","19.90"
"1386","2020-07-02 21:00:00.0","18.80"
"1386","2020-07-02 22:00:00.0","17.90"
"1386","2020-07-02 23:00:00.0","18.40"
"709","2020-07-03 23:00:00.0","21.10"
"709","2020-07-03 22:00:00.0","21.40"
"709","2020-07-03 21:00:00.0","21.70"
"709","2020-07-03 20:00:00.0","22.20"
"709","2020-07-03 19:00:00.0","23.40"
"709","2020-07-03 18:00:00.0","27.40"
"709","2020-07-03 17:00:00.0","29.10"
"709","2020-07-03 16:00:00.0","29.10"
"709","2020-07-03 15:00:00.0","29.40"
"709","2020-07-03 14:00:00.0","29.80"
"709","2020-07-03 13:00:00.0","30.10"
"709","2020-07-03 12:00:00.0","29.70"
"709","2020-07-03 11:00:00.0","29.50"
"709","2020-07-03 10:00:00.0","29.00"
"709","2020-07-03 09:00:00.0","28.60"
"709","2020-07-03 08:00:00.0","27.60"
"709","2020-07-03 07:00:00.0","25.30"
"709","2020-07-03 06:00:00.0","23.50"
"709","2020-07-03 05:00:00.0","21.90"
"709","2020-07-03 04:00:00.0","22.20"
"709","2020-07-03 03:00:00.0","23.20"
"709","2020-07-03 02:00:00.0","21.70"
"709","2020-07-03 01:00:00.0","21.80"
"709","2020-07-03 00:00:00.0","22.00"
"730","2020-07-03 23:00:00.0","19.00"
"730","2020-07-03 22:00:00.0","19.90"
"730","2020-07-03 21:00:00.0","21.20"
"730","2020-07-03 20:00:00.0","21.80"
"730","2020-07-03 19:00:00.0","21.70"
"730","2020-07-03 18:00:00.0","22.80"
"730","2020-07-03 17:00:00.0","25.40"
"730","2020-07-03 16:00:00.0","26.40"
"730","2020-07-03 15:00:00.0","26.70"
"730","2020-07-03 14:00:00.0","26.50"
